"ほげほげ"		,"ホゲホゲ"
"ＴＯＳテレビ大分",	"ＴＯＳ"
"ＯＡＢ大分朝日放送",	"ＯＡＢ"
"ＭＲＴ宮崎放送",	"ＭＲＴ"
"ＭＢＣ南日本放送",	"ＭＢＣ"
"鹿児島讀賣テレビ",	"ＫＹＴ"
"ＫＫＢ鹿児島放送",	"ＫＫＢ"
"鹿児島テレビ放送",	"ＫＴＳ"
"ＲＢＣテレビ",	"琉球放送"
"ＢＳ１１",	"BSイレブン"
"ＴｗｅｌｌＶ",	"TwellV"
#---2011.04.01-ADD---
"ＮＨＫ ＢＳ１",	"NHK BS1"
"ＮＨＫ ＢＳプレミアム",	"NHK BSプレミアム"
#---2011.04.01-ADD---

# MSNエンタメ -> RD-Style

"HBC",	"ＨＢＣテレビ"
"STV",	"ＳＴＶテレビ"
"HTB",	"ＨＴＢテレビ"
"UHB",	"ＵＨＢテレビ"
"TVh",	"ＴＶＨテレビ"
"青森朝日",	"ＡＢＡ"
"めんこい",	"めんこいテレビ"
"IBC",	"ＩＢＣテレビ"
"岩手朝日",	"岩手朝日テレビ"
"TBC",	"東北放送"
"ミヤギTV",	"ミヤギテレビ"
"秋田朝日",	"秋田朝日放送"
"IBC岩手",	"ＩＢＣテレビ"
"TUY",	"テレビユー山形"
"さくらんぼ",	"さくらんぼテレビ"
"福島中央",	"福島中央テレビ"
"TUF",	"テレビユー福島"
"BSN",	"新潟放送"
"NST",	"新潟総合テレビ"
"TeNY",	"テレビ新潟"
"UXTV",	"ＵＸ　新潟テレビ２１"
"KNB",	"北日本放送"
"BBT",	"富山テレビ"
"TUT",	"チューリップテレビ"
"HAB",	"北陸朝日"
"MRO",	"北陸放送"
"FBC",	"福井放送"
"YBS",	"山梨放送"
"SBC",	"信越放送"
"SBS",	"ＳＢＳ"
"静岡第一",	"だいいちテレビ"
"あさひTV",	"ＳＡＴＶ"
"ABC",	"ＡＢＣテレビ"
"日本海",	"日本海テレビ"
"BSS",	"山陰放送"
"山陰中央",	"山陰中央テレビ"
"瀬戸内海",	"瀬戸内海放送"
"RCC",	"中国放送"
"広島ホーム",	"広島ホームテレビ"
"TV新広島",	"テレビ新広島"
"KRY",	"山口放送"
"TYS",	"テレビ山口"
"YAB",	"山口朝日放送"
"TNC",	"ＴＮＣ"
"TVQ",	"ＴＶＱ"
"愛媛朝日",	"ＥＡＴ"
"さんさん",	"高知さんさんテレビ"
"RKB",	"ＲＫＢ"
"KBC",	"ＫＢＣ"
"FBS",	"ＦＢＳ"
"STS",	"ＳＴＳ"
"NBC",	"ＮＢＣ"
"KTN",	"ＫＴＮ"
"NCC",	"ＮＣＣ"
"NIB",	"ＮＩＢ"
"RKK",	"ＲＫＫ"
"TKU",	"ＴＫＵ"
"KKT",	"ＫＫＴ"
"KAB",	"ＫＡＢ"
"OBS",	"ＯＢＳ"
"TOS",	"ＴＯＳ"
"OAB",	"ＯＡＢ"
"MRT",	"ＭＲＴ"
"UMK",	"ＵＭＫ"
"MBC",	"ＭＢＣ"
"KTS",	"ＫＴＳ"
"KKB",	"ＫＫＢ"
"KYT",	"ＫＹＴ"
"RBC",	"琉球放送"
"琉球朝日",	"ＱＡＢ"
"BS1",	"NHK BS1"
#---2011.06.07-ADD---
"NHK・東京"		,"ＮＨＫ総合"
#---2011.06.07-ADD---

# Yahoo!テレビ.Gガイド -> RD-Style

"ＮＨＫ Ｅテレ・北海道（札幌）",	"ＮＨＫ Ｅテレ・北海道"
"ＮＨＫ総合・北海道（札幌）",	"ＮＨＫ総合・北海道"
"東日本放送ＣＨ",	"東日本放送"
#---2011.11.13-ADD---
"TOKYO　MX"		,"ＴＯＫＹＯ　ＭＸ"
#---2011.11.13-ADD---
"ＮＳＴ",	"新潟総合テレビ"
"ＯＴＶ沖縄テレビ",	"沖縄テレビ"
"NHKBS1",	"NHK BS1"
"NHKBSプレミアム",	"NHK BSプレミアム"

#---2011.07.05-ADD---

# インターネットTVガイド -> RD-Style

"HBCテレビ", "ＨＢＣテレビ"
"STVテレビ", "ＳＴＶテレビ"
"HTBテレビ", "ＨＴＢテレビ"
"UHBテレビ", "ＵＨＢテレビ"
"TVHテレビ", "ＴＶＨテレビ"
"TBSテレビ", "ＴＢＳテレビ"
"UX 新潟テレビ21", "ＵＸ　新潟テレビ２１"
"abn長野朝日", "長野朝日"
"CBCテレビ", "ＣＢＣテレビ"
"TSCテレビせとうち", "ＴＳＣテレビせとうち"
"RKBテレビ", "ＲＫＢ"
"TNCテレビ", "ＴＮＣ"
"FBSテレビ", "ＦＢＳ"
"TVQテレビ", "ＴＶＱ"
"STSテレビ", "ＳＴＳ"
"NBCテレビ", "ＮＢＣ"
"KTNテレビ", "ＫＴＮ"
"NCCテレビ", "ＮＣＣ"
"NIBテレビ", "ＮＩＢ"
"RKKテレビ", "ＲＫＫ"
"TKUテレビ", "ＴＫＵ"
"KKTテレビ", "ＫＫＴ"
"KABテレビ", "ＫＡＢ"
"OBSテレビ", "ＯＢＳ"
"TOSテレビ", "ＴＯＳ"
"OABテレビ", "ＯＡＢ"
"MRTテレビ", "ＭＲＴ"
"UMKテレビ", "ＵＭＫ"
"MBCテレビ", "ＭＢＣ"
"KTSテレビ", "ＫＴＳ"
"KKBテレビ", "ＫＫＢ"
"KYTテレビ", "ＫＹＴ"

#---2011.07.05-ADD---

#>>---2011.07.09-ADD---

"IBCテレビ", "ＩＢＣテレビ"
"TBCテレビ", "東北放送"
"UX　新潟テレビ２１", "ＵＸ　新潟テレビ２１"
"MROテレビ", "北陸放送"
"FBCテレビ", "福井放送"
"SBSテレビ", "ＳＢＳ"
"京都テレビ", "ＫＢＳ京都"
"RSKテレビ", "山陽放送"
"RCCテレビ", "中国放送"

#<<---2011.07.09-ADD---

#>>---2012.09.23-ADD---

# Dimora -> RD-Style

"NST1",	"新潟総合テレビ"
"だいいちテレビ1",	"だいいちテレビ"
"奈良テレビ１",	"奈良テレビ"
"BS日本映画専門ch",	"日本映画専門チャンネル"
"ディズニーチャンネル",	"ディズニー・チャンネル"
"Dlife",	"D-Life"
"NHKBS1(101)",	"NHK BS1"
"NHKBSプレミアム(103)",	"NHK BSプレミアム"
"BS－TBS"		,"ＢＳ-ＴＢＳ"

#<<---2012.09.23-ADD---

#>>---2013.02.07-ADD---
"TOKYO　MX1","ＴＯＫＹＯ　ＭＸ"
"TOKYO　MX2","ＴＯＫＹＯ　ＭＸ・２"
#<<---2013.02.07-ADD---

#>>---2011.10.10-ADD---

# 新ＢＳ対応

"WOWOW",	"WOWOWプライム"
"WOWOW1", "WOWOWプライム"
"ＷＯＷＯＷ1",	"WOWOWプライム"
"ＷＯＷＯＷプライム","WOWOWプライム"
"WOWOW2",	"WOWOWライブ"
"ＷＯＷＯＷ2",	"WOWOWライブ"
"ＷＯＷＯＷライブ","WOWOWライブ"
"WOWOW3",	"WOWOWシネマ"
"ＷＯＷＯＷ3",	"WOWOWシネマ"
"ＷＯＷＯＷシネマ","WOWOWシネマ"
#"放送大学2","放送大学BS2"
#"放送大学3","放送大学BS3"
"アニマックス","BSアニマックス"
"ＢＳアニマックス","BSアニマックス"
"FOX bs238","FOXbs238"
"ＦＯＸ ｂｓ２３８","FOXbs238"
"BSスカパー！","BSスカパー!"
"ＢＳスカパー！","BSスカパー!"
"スター・チャンネルハイビジョン","スター・チャンネル1"
"スター・チャンネル１","スター・チャンネル1"
"スター・チャンネル２","スター・チャンネル2"
"スター・チャンネル３","スター・チャンネル3"
"BS日本映画専門チャンネル","日本映画専門チャンネル"
"Ｄｌｉｆｅ","D-Life"

#<<---2011.10.10-ADD---

#<<---2012.07.20-ADD---

# e2!スカパー

"AT－X","AT-X"
"333ch AT－X","AT-X"
"333 - アニメシアターX（AT-X)","AT-X"
"CS333 アニメシアターX（AT-X)","AT-X"
"CS333 アニメシアターX(AT-X)","AT-X"

"CS330 キッズステーションHD","キッズステーション"

"CS223 チャンネルNECO","チャンネルNECO"

"300ch 日テレプラス","日テレプラス"
"300 - 日テレプラス","日テレプラス"
"CS300 日テレプラス","日テレプラス"

"CS296 TBSチャンネル１","TBSチャンネル1"
"CS296 TBSチャンネル1","TBSチャンネル1"

"CS297 TBSチャンネル2","TBSチャンネル2"

"CS298 テレ朝チャンネルHD","テレ朝チャンネル"
"CS298 テレ朝チャンネル1 ドラマ・バラエティ・アニメ","テレ朝チャンネル"

"ファミリー劇場HD", "ファミリー劇場"
"CS293 ファミリー劇場HD", "ファミリー劇場"

"BS241 BSスカパー！", "BSスカパー！"

#<<---2012.07.20-ADD---

#<<---2012.10.15-ADD---

# EDCB(EPG)

"ＮＨＫ総合１・東京", "ＮＨＫ総合"
"ＮＨＫＥテレ１東京", "ＮＨＫ Ｅテレ"
#"日本テレビ", ""
#"ＴＢＳ", "ＴＢＳテレビ"
#"フジテレビ", ""
#"テレビ朝日", ""
#"テレビ東京1", "テレビ東京"
#"ＴＯＫＹＯ　ＭＸ１", "ＴＯＫＹＯ　ＭＸ"
